商户订单号,发生时间,收入金额（+元）,支出金额（-元）,账务类型,备注,业务描述
231029-297585940150669,2023/10/30 13:36,0,-1.57,其他服务,消费者体验提升计划费用，扣费编号：B231030133635940-2091-0113858076,0050002|服务支出-消费者体验提升计划
231029-672326020582167,2023/10/30 13:36,0,-1.57,其他服务,消费者体验提升计划费用，扣费编号：B231030133635940-2091-0113858076,0050002|服务支出-消费者体验提升计划
231028-090576045553436,2023/10/30 13:34,0,-3,其他,商家小额打款：小额补偿扣款(231028-090576045553436),0040001|售后费用-小额打款
231020-395622511642945,2023/10/30 13:29,55,0,交易收入,-,0010002|交易收入-订单收入
231020-395622511642945,2023/10/30 13:29,0,-0.55,技术服务费,先用后付技术服务费,0030005|技术服务费-先用后付技术服务费
231019-624972338633946,2023/10/30 13:04,55,0,交易收入,-,0010002|交易收入-订单收入
231019-624972338633946,2023/10/30 13:04,0,-0.33,技术服务费,-,0030002|技术服务费-基础技术服务费
231026-132629196290008,2023/10/30 12:44,0,-71.25,退款,-,0020002|交易退款-订单退款
231026-132629196290008,2023/10/30 12:44,71.25,0,交易收入,-,0010002|交易收入-订单收入
231026-562125925890008,2023/10/30 12:44,0,-71.25,退款,-,0020002|交易退款-订单退款
231026-562125925890008,2023/10/30 12:44,71.25,0,交易收入,-,0010002|交易收入-订单收入
231026-562125925890008,2023/10/30 12:40,0,-0.43,技术服务费,-,0030002|技术服务费-基础技术服务费
231026-132629196290008,2023/10/30 12:40,0,-0.43,技术服务费,-,0030002|技术服务费-基础技术服务费
231030-426172773322598,2023/10/30 12:09,3,0,优惠券结算,交易成功优惠券支付金额结算,0010005|交易收入-优惠券结算
231030-426172773322598,2023/10/30 12:09,0,-3,优惠券结算,退款扣除优惠券支付金额,0020005|交易退款-优惠券结算
231030-426172773322598,2023/10/30 12:09,52,0,交易收入,-,0010002|交易收入-订单收入
231030-426172773322598,2023/10/30 12:09,0,-52,退款,-,0020002|交易退款-订单退款
231030-426172773322598,2023/10/30 12:06,0,-0.33,技术服务费,-,0030002|技术服务费-基础技术服务费
231029-330631823002274,2023/10/30 9:50,0,-1.57,其他服务,消费者体验提升计划费用，扣费编号：B231030095051661-9376-0113858076,0050002|服务支出-消费者体验提升计划
231029-502430514842274,2023/10/30 9:50,0,-1.57,其他服务,消费者体验提升计划费用，扣费编号：B231030095051661-9376-0113858076,0050002|服务支出-消费者体验提升计划
231022-145589543790823,2023/10/30 9:04,0,-0.33,技术服务费,-,0030002|技术服务费-基础技术服务费
231022-145589543790823,2023/10/30 9:04,2.5,0,优惠券结算,交易成功优惠券支付金额结算,0010005|交易收入-优惠券结算
231022-145589543790823,2023/10/30 9:04,52.6,0,交易收入,-,0010002|交易收入-订单收入
231022-489186927470823,2023/10/30 8:59,52.6,0,交易收入,-,0010002|交易收入-订单收入
231022-489186927470823,2023/10/30 8:59,0,-0.33,技术服务费,-,0030002|技术服务费-基础技术服务费
231022-489186927470823,2023/10/30 8:59,2.5,0,优惠券结算,交易成功优惠券支付金额结算,0010005|交易收入-优惠券结算
231025-126715227781985,2023/10/29 20:54,0,-0.33,技术服务费,-,0030002|技术服务费-基础技术服务费
231025-126715227781985,2023/10/29 20:54,55,0,交易收入,-,0010002|交易收入-订单收入
231026-069525851041877,2023/10/29 18:09,0,-0.33,技术服务费,-,0030002|技术服务费-基础技术服务费
231026-069525851041877,2023/10/29 18:09,55,0,交易收入,-,0010002|交易收入-订单收入
231029-007455456772371,2023/10/29 17:20,0,-1.57,其他服务,消费者体验提升计划费用，扣费编号：B231029172050763-1940-0113858076,0050002|服务支出-消费者体验提升计划
231023-197730037392149,2023/10/29 16:29,72,0,交易收入,-,0010002|交易收入-订单收入
231023-197730037392149,2023/10/29 16:29,0,-72,退款,-,0020002|交易退款-订单退款
231023-197730037392149,2023/10/29 16:26,0,-0.43,技术服务费,-,0030002|技术服务费-基础技术服务费
231029-440706067940804,2023/10/29 16:24,55,0,交易收入,-,0010002|交易收入-订单收入
231029-440706067940804,2023/10/29 16:24,0,-55,退款,-,0020002|交易退款-订单退款
231029-440706067940804,2023/10/29 16:21,0,-0.33,技术服务费,-,0030002|技术服务费-基础技术服务费
231023-198542652213965,2023/10/29 15:19,55,0,交易收入,-,0010002|交易收入-订单收入
231023-198542652213965,2023/10/29 15:19,0,-0.33,技术服务费,-,0030002|技术服务费-基础技术服务费
231029-440706067940804,2023/10/29 15:14,0,-1.57,其他服务,消费者体验提升计划费用，扣费编号：B231029151440794-6446-0113858076,0050002|服务支出-消费者体验提升计划
231022-586956174373608,2023/10/29 13:09,0,-0.71,技术服务费,先用后付技术服务费,0030005|技术服务费-先用后付技术服务费
231022-586956174373608,2023/10/29 13:09,71.25,0,交易收入,-,0010002|交易收入-订单收入
231026-219283516930892,2023/10/29 12:59,0,-0.33,技术服务费,-,0030002|技术服务费-基础技术服务费
231026-219283516930892,2023/10/29 12:59,55,0,交易收入,-,0010002|交易收入-订单收入
231029-288908911411976,2023/10/29 11:13,0,-1.57,其他服务,消费者体验提升计划费用，扣费编号：B231029111345741-0441-0113858076,0050002|服务支出-消费者体验提升计划
231028-454416219660045,2023/10/29 10:09,0,-1.57,其他服务,消费者体验提升计划费用，扣费编号：B231029100900545-9461-0113858076,0050002|服务支出-消费者体验提升计划
231028-090576045553436,2023/10/29 9:55,0,-1.57,其他服务,消费者体验提升计划费用，扣费编号：B231029095540727-9695-0113858076,0050002|服务支出-消费者体验提升计划
231028-157548583882598,2023/10/28 21:09,0,-55,退款,-,0020002|交易退款-订单退款
231028-157548583882598,2023/10/28 21:09,55,0,交易收入,-,0010002|交易收入-订单收入
231028-157548583882598,2023/10/28 21:05,0,-0.33,技术服务费,-,0030002|技术服务费-基础技术服务费
231024-528555744230850,2023/10/28 18:04,3.3,0,优惠券结算,交易成功优惠券支付金额结算,0010005|交易收入-优惠券结算
231024-528555744230850,2023/10/28 18:04,51.7,0,交易收入,-,0010002|交易收入-订单收入
231024-528555744230850,2023/10/28 18:04,0,-0.33,技术服务费,-,0030002|技术服务费-基础技术服务费
231018-483629474581487,2023/10/28 17:29,55,0,交易收入,-,0010002|交易收入-订单收入
231018-483629474581487,2023/10/28 17:29,0,-0.33,技术服务费,-,0030002|技术服务费-基础技术服务费
231026-109932716973352,2023/10/28 15:54,57,0,交易收入,-,0010002|交易收入-订单收入
231026-109932716973352,2023/10/28 15:54,0,-0.34,技术服务费,-,0030002|技术服务费-基础技术服务费
231028-660571452362944,2023/10/28 15:44,55,0,交易收入,-,0010002|交易收入-订单收入
231028-660571452362944,2023/10/28 15:44,0,-55,退款,-,0020002|交易退款-订单退款
231028-660571452362944,2023/10/28 15:42,0,-0.33,技术服务费,-,0030002|技术服务费-基础技术服务费
231028-566105230152347,2023/10/28 14:57,0,-1.57,其他服务,消费者体验提升计划费用，扣费编号：B231028145750809-7534-0113858076,0050002|服务支出-消费者体验提升计划
231020-085930812320835,2023/10/28 12:39,0,-0.43,技术服务费,-,0030002|技术服务费-基础技术服务费
231020-085930812320835,2023/10/28 12:39,57,0,交易收入,-,0010002|交易收入-订单收入
231020-085930812320835,2023/10/28 12:39,0,-3.96,多多进宝,多多进宝费用扣除（佣金及软件服务费）,0060001|营销费用-多多进宝
231020-085930812320835,2023/10/28 12:39,15,0,优惠券结算,交易成功优惠券支付金额结算,0010005|交易收入-优惠券结算
231018-460623748141129,2023/10/28 10:44,52.6,0,交易收入,-,0010002|交易收入-订单收入
231018-460623748141129,2023/10/28 10:44,2.5,0,优惠券结算,交易成功优惠券支付金额结算,0010005|交易收入-优惠券结算
231018-460623748141129,2023/10/28 10:44,0,-0.33,技术服务费,-,0030002|技术服务费-基础技术服务费
231027-317120859173208,2023/10/28 9:40,0,-1.57,其他服务,消费者体验提升计划费用，扣费编号：B231028094011585-2499-0113858076,0050002|服务支出-消费者体验提升计划
231027-138013602751942,2023/10/27 22:54,0,-57,退款,-,0020002|交易退款-订单退款
231027-138013602751942,2023/10/27 22:54,57,0,交易收入,-,0010002|交易收入-订单收入
231027-138013602751942,2023/10/27 22:49,0,-0.34,技术服务费,-,0030002|技术服务费-基础技术服务费
231016-159656252903220,2023/10/27 13:45,75,0,交易收入,-,0010002|交易收入-订单收入
231016-159656252903220,2023/10/27 13:45,0,-0.45,技术服务费,-,0030002|技术服务费-基础技术服务费
231016-159656252903220,2023/10/27 13:45,0,-7.5,多多进宝,多多进宝费用扣除（佣金及软件服务费）,0060001|营销费用-多多进宝
231017-390002185811752,2023/10/27 13:44,55,0,交易收入,-,0010002|交易收入-订单收入
231017-390002185811752,2023/10/27 13:44,0,-0.55,技术服务费,先用后付技术服务费,0030005|技术服务费-先用后付技术服务费
231027-493417983572812,2023/10/27 13:16,0,-1.57,其他服务,消费者体验提升计划费用，扣费编号：B231027131650863-7722-0113858076,0050002|服务支出-消费者体验提升计划
231026-335083007473436,2023/10/27 13:16,0,-1.57,其他服务,消费者体验提升计划费用，扣费编号：B231027131650863-7722-0113858076,0050002|服务支出-消费者体验提升计划
231026-352290087960321,2023/10/27 13:01,0,-1.57,其他服务,消费者体验提升计划费用，扣费编号：B231027130135917-0149-0113858076,0050002|服务支出-消费者体验提升计划
231026-132629196290008,2023/10/27 10:01,0,-1.57,其他服务,消费者体验提升计划费用，扣费编号：B231027100106688-3957-0113858076,0050002|服务支出-消费者体验提升计划
231026-562125925890008,2023/10/27 10:01,0,-1.57,其他服务,消费者体验提升计划费用，扣费编号：B231027100106688-3957-0113858076,0050002|服务支出-消费者体验提升计划
231026-482649056192045,2023/10/26 16:39,0,-1.57,其他服务,消费者体验提升计划费用，扣费编号：B231026163855703-7238-0113858076,0050002|服务支出-消费者体验提升计划
231026-170440795003927,2023/10/26 16:18,0,-1.57,其他服务,消费者体验提升计划费用，扣费编号：B231026161805666-9853-0113858076,0050002|服务支出-消费者体验提升计划
231026-219283516930892,2023/10/26 16:18,0,-1.57,其他服务,消费者体验提升计划费用，扣费编号：B231026161805666-9853-0113858076,0050002|服务支出-消费者体验提升计划
231026-109932716973352,2023/10/26 16:18,0,-1.57,其他服务,消费者体验提升计划费用，扣费编号：B231026161805666-9853-0113858076,0050002|服务支出-消费者体验提升计划
231026-069525851041877,2023/10/26 16:18,0,-1.57,其他服务,消费者体验提升计划费用，扣费编号：B231026161805666-9853-0113858076,0050002|服务支出-消费者体验提升计划
231025-632296579951106,2023/10/26 16:18,0,-1.57,其他服务,消费者体验提升计划费用，扣费编号：B231026161805666-9853-0113858076,0050002|服务支出-消费者体验提升计划
231017-469541928350841,2023/10/26 15:09,0,-4.5,优惠券结算,退款扣除优惠券支付金额,0020005|交易退款-优惠券结算
231022-659984301591230,2023/10/26 15:09,0,-57,退款,-,0020002|交易退款-订单退款
231022-659984301591230,2023/10/26 15:09,57,0,交易收入,-,0010002|交易收入-订单收入
231017-469541928350841,2023/10/26 15:09,4.5,0,优惠券结算,交易成功优惠券支付金额结算,0010005|交易收入-优惠券结算
231017-125944544670841,2023/10/26 15:09,0,-50.6,退款,-,0020002|交易退款-订单退款
231017-125944544670841,2023/10/26 15:09,50.6,0,交易收入,-,0010002|交易收入-订单收入
231017-469541928350841,2023/10/26 15:09,0,-50.6,退款,-,0020002|交易退款-订单退款
231017-469541928350841,2023/10/26 15:09,50.6,0,交易收入,-,0010002|交易收入-订单收入
231017-125944544670841,2023/10/26 15:09,0,-4.5,优惠券结算,退款扣除优惠券支付金额,0020005|交易退款-优惠券结算
231017-125944544670841,2023/10/26 15:09,4.5,0,优惠券结算,交易成功优惠券支付金额结算,0010005|交易收入-优惠券结算
231022-659984301591230,2023/10/26 15:05,0,-0.34,技术服务费,-,0030002|技术服务费-基础技术服务费
231017-125944544670841,2023/10/26 15:04,0,-0.55,技术服务费,先用后付技术服务费,0030005|技术服务费-先用后付技术服务费
231017-469541928350841,2023/10/26 15:04,0,-0.55,技术服务费,先用后付技术服务费,0030005|技术服务费-先用后付技术服务费
231023-445141492741296,2023/10/26 10:54,22.88,0,交易收入,-,0010002|交易收入-订单收入
231023-445141492741296,2023/10/26 10:54,0,-0.23,技术服务费,先用后付技术服务费,0030005|技术服务费-先用后付技术服务费
231023-197892535133934,2023/10/26 7:59,0,-0.55,技术服务费,先用后付技术服务费,0030005|技术服务费-先用后付技术服务费
231023-197892535133934,2023/10/26 7:59,6,0,优惠券结算,交易成功优惠券支付金额结算,0010005|交易收入-优惠券结算
231023-197892535133934,2023/10/26 7:59,49,0,交易收入,-,0010002|交易收入-订单收入
231025-185272923013507,2023/10/25 14:58,0,-1.57,其他服务,消费者体验提升计划费用，扣费编号：B231025145816629-8745-0113858076,0050002|服务支出-消费者体验提升计划
231015-466826054672809,2023/10/25 13:14,0,-0.16,技术服务费,-,0030002|技术服务费-基础技术服务费
231015-466826054672809,2023/10/25 13:14,25.88,0,交易收入,-,0010002|交易收入-订单收入
231024-528555744230850,2023/10/25 11:04,0,-1.57,其他服务,消费者体验提升计划费用，扣费编号：B231025110431821-0433-0113858076,0050002|服务支出-消费者体验提升计划
231024-492516187063090,2023/10/25 11:04,0,-1.57,其他服务,消费者体验提升计划费用，扣费编号：B231025110431821-0433-0113858076,0050002|服务支出-消费者体验提升计划
231025-126715227781985,2023/10/25 10:25,0,-1.57,其他服务,消费者体验提升计划费用，扣费编号：B231025102530852-4163-0113858076,0050002|服务支出-消费者体验提升计划
231025-054216661843901,2023/10/25 10:25,0,-1.57,其他服务,消费者体验提升计划费用，扣费编号：B231025102530852-4163-0113858076,0050002|服务支出-消费者体验提升计划
231024-556521307702768,2023/10/25 10:02,0,-1.57,其他服务,消费者体验提升计划费用，扣费编号：B231025100205836-2329-0113858076,0050002|服务支出-消费者体验提升计划
231024-127024578102768,2023/10/25 10:02,0,-1.57,其他服务,消费者体验提升计划费用，扣费编号：B231025100205836-2329-0113858076,0050002|服务支出-消费者体验提升计划
231022-589561927211987,2023/10/24 19:24,75,0,交易收入,-,0010002|交易收入-订单收入
231022-589561927211987,2023/10/24 19:24,0,-0.45,技术服务费,-,0030002|技术服务费-基础技术服务费
231020-214245067642300,2023/10/24 17:19,1.5,0,优惠券结算,交易成功优惠券支付金额结算,0010005|交易收入-优惠券结算
231020-214245067642300,2023/10/24 17:19,0,-5.51,多多进宝,多多进宝费用扣除（佣金及软件服务费）,0060001|营销费用-多多进宝
231020-214245067642300,2023/10/24 17:19,0,-0.33,技术服务费,-,0030002|技术服务费-基础技术服务费
231020-214245067642300,2023/10/24 17:19,53.6,0,交易收入,-,0010002|交易收入-订单收入
231023-485936383413239,2023/10/24 13:05,0,-1.57,其他服务,消费者体验提升计划费用，扣费编号：B231024130505770-6050-0113858076,0050002|服务支出-消费者体验提升计划
231023-314137691573239,2023/10/24 13:05,0,-1.57,其他服务,消费者体验提升计划费用，扣费编号：B231024130505770-6050-0113858076,0050002|服务支出-消费者体验提升计划
231023-197730037392149,2023/10/24 13:05,0,-1.57,其他服务,消费者体验提升计划费用，扣费编号：B231024130505770-6050-0113858076,0050002|服务支出-消费者体验提升计划
231020-386043759482300,2023/10/24 12:19,0,-0.33,技术服务费,-,0030002|技术服务费-基础技术服务费
231020-386043759482300,2023/10/24 12:19,53.6,0,交易收入,-,0010002|交易收入-订单收入
231020-386043759482300,2023/10/24 12:19,1.5,0,优惠券结算,交易成功优惠券支付金额结算,0010005|交易收入-优惠券结算
231020-386043759482300,2023/10/24 12:19,0,-5.51,多多进宝,多多进宝费用扣除（佣金及软件服务费）,0060001|营销费用-多多进宝
231020-438393936833650,2023/10/24 10:39,0,-0.14,技术服务费,-,0030002|技术服务费-基础技术服务费
231020-438393936833650,2023/10/24 10:39,22.88,0,交易收入,-,0010002|交易收入-订单收入
231023-165517730613239,2023/10/23 23:54,55,0,交易收入,-,0010002|交易收入-订单收入
231023-165517730613239,2023/10/23 23:54,0,-55,退款,-,0020002|交易退款-订单退款
231023-165517730613239,2023/10/23 23:53,0,-0.33,技术服务费,-,0030002|技术服务费-基础技术服务费
231019-077384917783935,2023/10/23 20:39,75,0,交易收入,-,0010002|交易收入-订单收入
231019-077384917783935,2023/10/23 20:39,0,-0.45,技术服务费,-,0030002|技术服务费-基础技术服务费
231023-445141492741296,2023/10/23 17:07,0,-1.57,其他服务,消费者体验提升计划费用，扣费编号：B231023170720698-4261-0113858076,0050002|服务支出-消费者体验提升计划
231023-197892535133934,2023/10/23 16:56,0,-1.57,其他服务,消费者体验提升计划费用，扣费编号：B231023165645625-1773-0113858076,0050002|服务支出-消费者体验提升计划
231022-589561927211987,2023/10/23 16:56,0,-1.46,其他服务,消费者体验提升计划费用，扣费编号：B231023165645625-1773-0113858076,0050002|服务支出-消费者体验提升计划
231022-247338126333570,2023/10/23 16:56,0,-1.46,其他服务,消费者体验提升计划费用，扣费编号：B231023165645625-1773-0113858076,0050002|服务支出-消费者体验提升计划
231023-198542652213965,2023/10/23 16:23,0,-1.57,其他服务,消费者体验提升计划费用，扣费编号：B231023162255783-4512-0113858076,0050002|服务支出-消费者体验提升计划
231020-185414470682225,2023/10/23 12:44,0,-0.43,技术服务费,-,0030002|技术服务费-基础技术服务费
231020-185414470682225,2023/10/23 12:44,72,0,交易收入,-,0010002|交易收入-订单收入
231023-647700223551942,2023/10/23 11:34,0,-57,退款,-,0020002|交易退款-订单退款
231023-647700223551942,2023/10/23 11:34,57,0,交易收入,-,0010002|交易收入-订单收入
231023-647700223551942,2023/10/23 11:31,0,-0.57,技术服务费,先用后付技术服务费,0030005|技术服务费-先用后付技术服务费
231023-076273479073547,2023/10/23 10:34,55,0,交易收入,-,0010002|交易收入-订单收入
231023-076273479073547,2023/10/23 10:34,0,-55,退款,-,0020002|交易退款-订单退款
231023-076273479073547,2023/10/23 10:29,0,-0.55,技术服务费,先用后付技术服务费,0030005|技术服务费-先用后付技术服务费
231012-589598627472809,2023/10/23 9:39,25.88,0,交易收入,-,0010002|交易收入-订单收入
231012-589598627472809,2023/10/23 9:39,0,-0.16,技术服务费,-,0030002|技术服务费-基础技术服务费
231015-395056301523286,2023/10/22 18:14,0,-0.72,技术服务费,先用后付技术服务费,0030005|技术服务费-先用后付技术服务费
231015-395056301523286,2023/10/22 18:14,72,0,交易收入,-,0010002|交易收入-订单收入
231022-002422229951942,2023/10/22 16:04,72,0,交易收入,-,0010002|交易收入-订单收入
231022-002422229951942,2023/10/22 16:04,0,-72,退款,-,0020002|交易退款-订单退款
231022-002422229951942,2023/10/22 16:03,0,-0.72,技术服务费,先用后付技术服务费,0030005|技术服务费-先用后付技术服务费
231012-177167472272114,2023/10/22 15:14,0,-0.33,技术服务费,-,0030002|技术服务费-基础技术服务费
231012-177167472272114,2023/10/22 15:14,52,0,交易收入,-,0010002|交易收入-订单收入
231012-177167472272114,2023/10/22 15:14,3,0,优惠券结算,交易成功优惠券支付金额结算,0010005|交易收入-优惠券结算
231022-376197641111230,2023/10/22 13:30,0,-1.46,其他服务,消费者体验提升计划费用，扣费编号：B231022133020557-9008-0113858076,0050002|服务支出-消费者体验提升计划
231022-659984301591230,2023/10/22 13:30,0,-1.46,其他服务,消费者体验提升计划费用，扣费编号：B231022133020557-9008-0113858076,0050002|服务支出-消费者体验提升计划
231021-318950686193619,2023/10/22 10:39,0,-1.46,其他服务,消费者体验提升计划费用，扣费编号：B231022103905732-2159-0113858076,0050002|服务支出-消费者体验提升计划
231021-626188634993591,2023/10/22 10:39,0,-1.46,其他服务,消费者体验提升计划费用，扣费编号：B231022103905732-2159-0113858076,0050002|服务支出-消费者体验提升计划
231017-620772739841409,2023/10/22 9:59,51,0,交易收入,-,0010002|交易收入-订单收入
231017-620772739841409,2023/10/22 9:59,7,0,优惠券结算,交易成功优惠券支付金额结算,0010005|交易收入-优惠券结算
231017-620772739841409,2023/10/22 9:59,0,-0.35,技术服务费,-,0030002|技术服务费-基础技术服务费
231022-145589543790823,2023/10/22 9:58,0,-1.46,其他服务,消费者体验提升计划费用，扣费编号：B231022095755949-1245-0113858076,0050002|服务支出-消费者体验提升计划
231022-489186927470823,2023/10/22 9:58,0,-1.46,其他服务,消费者体验提升计划费用，扣费编号：B231022095755949-1245-0113858076,0050002|服务支出-消费者体验提升计划
231022-157459444773608,2023/10/22 9:44,0,-1.46,其他服务,消费者体验提升计划费用，扣费编号：B231022094421898-8440-0113858076,0050002|服务支出-消费者体验提升计划
231022-586956174373608,2023/10/22 9:44,0,-1.46,其他服务,消费者体验提升计划费用，扣费编号：B231022094421898-8440-0113858076,0050002|服务支出-消费者体验提升计划
231017-620772739841409,2023/10/22 9:20,0,-5,其他,商家小额打款：小额补偿扣款(231017-620772739841409),0040001|售后费用-小额打款
231022-269211411380138,2023/10/22 7:14,0,-72,退款,-,0020002|交易退款-订单退款
231022-269211411380138,2023/10/22 7:14,72,0,交易收入,-,0010002|交易收入-订单收入
231022-269211411380138,2023/10/22 7:09,0,-0.43,技术服务费,-,0030002|技术服务费-基础技术服务费
231022-349327891391942,2023/10/22 0:59,57,0,交易收入,-,0010002|交易收入-订单收入
231022-349327891391942,2023/10/22 0:59,0,-57,退款,-,0020002|交易退款-订单退款
231022-349327891391942,2023/10/22 0:57,0,-0.57,技术服务费,先用后付技术服务费,0030005|技术服务费-先用后付技术服务费
231017-060319364102081,2023/10/21 20:59,0,-0.45,技术服务费,-,0030002|技术服务费-基础技术服务费
231017-060319364102081,2023/10/21 20:59,75,0,交易收入,-,0010002|交易收入-订单收入
231019-493376030190181,2023/10/21 20:39,5,0,优惠券结算,交易成功优惠券支付金额结算,0010005|交易收入-优惠券结算
231019-493376030190181,2023/10/21 20:39,0,-0.43,技术服务费,-,0030002|技术服务费-基础技术服务费
231019-493376030190181,2023/10/21 20:39,67,0,交易收入,-,0010002|交易收入-订单收入
231015-058691449851426,2023/10/21 19:54,0,-0.75,技术服务费,先用后付技术服务费,0030005|技术服务费-先用后付技术服务费
231015-058691449851426,2023/10/21 19:54,75,0,交易收入,-,0010002|交易收入-订单收入
231016-191417630180070,2023/10/21 18:39,40,0,交易收入,-,0010002|交易收入-订单收入
231016-191417630180070,2023/10/21 18:39,15,0,优惠券结算,交易成功优惠券支付金额结算,0010005|交易收入-优惠券结算
231016-191417630180070,2023/10/21 18:39,0,-0.33,技术服务费,-,0030002|技术服务费-基础技术服务费
231021-037360813561882,2023/10/21 18:24,72,0,交易收入,-,0010002|交易收入-订单收入
231021-037360813561882,2023/10/21 18:24,0,-72,退款,-,0020002|交易退款-订单退款
231021-037360813561882,2023/10/21 18:20,0,-0.43,技术服务费,-,0030002|技术服务费-基础技术服务费
231020-438393936833650,2023/10/21 10:53,0,-1.46,其他服务,消费者体验提升计划费用，扣费编号：B231021105335911-2816-0113858076,0050002|服务支出-消费者体验提升计划
231010-643857171911268,2023/10/21 10:14,0,-0.45,技术服务费,-,0030002|技术服务费-基础技术服务费
231010-643857171911268,2023/10/21 10:14,68.04,0,交易收入,-,0010002|交易收入-订单收入
231010-643857171911268,2023/10/21 10:14,6.96,0,优惠券结算,交易成功优惠券支付金额结算,0010005|交易收入-优惠券结算
231020-185414470682225,2023/10/20 17:27,0,-1.46,其他服务,消费者体验提升计划费用，扣费编号：B231020172730708-0770-0113858076,0050002|服务支出-消费者体验提升计划
